"candidate_id","rank","score","reasoning"
"CAND_0002025","1","0.9990","HIGH semantic match (0.95). Senior AI Engineer at Apple with 5.9 yrs experience. strong in FAISS, Sentence Transformers, QLoRA; currently in AI/ML role; product-company background; high responsiveness (80%); fast response times (20.9h avg)."
"CAND_0071974","2","0.8430","HIGH semantic match (0.97). Senior AI Engineer at Netflix with 7.8 yrs experience. strong in Weaviate, BM25, Pinecone; currently in AI/ML role; product-company background; high responsiveness (76%); high market demand."
"CAND_0006567","3","0.7968","HIGH semantic match (0.86). Senior AI Engineer at Meta with 7.9 yrs experience. strong in BM25, Prompt Engineering, scikit-learn; currently in AI/ML role; product-company background; high responsiveness (79%); high market demand."
"CAND_0068351","4","0.7597","HIGH semantic match (0.78). Lead AI Engineer at Sarvam AI with 6.4 yrs experience. strong in Qdrant, Elasticsearch, PEFT; currently in AI/ML role; product-company background; high responsiveness (86%); high market demand."
"CAND_0046525","5","0.7498","HIGH semantic match (0.74). Senior Machine Learning Engineer at Genpact AI with 6.1 yrs experience. strong in Sentence Transformers, Qdrant, Elasticsearch; currently in AI/ML role; product-company background; high responsiveness (88%); fast response times (12.0h avg)."
"CAND_0046064","6","0.7473","HIGH semantic match (0.83). Senior NLP Engineer at Salesforce with 8.9 yrs experience. strong in Pinecone, BM25, PEFT; currently in AI/ML role; product-company background; high responsiveness (78%); high market demand."
"CAND_0005538","7","0.7448","HIGH semantic match (1.00). Senior AI Engineer at Adobe with 5.9 yrs experience. strong in Natural Language Processing, Deep Learning, QLoRA; currently in AI/ML role; product-company background; high responsiveness (81%); high market demand."
"CAND_0055905","8","0.7359","HIGH semantic match (0.73). Senior Machine Learning Engineer at Flipkart with 8.1 yrs experience. strong in Elasticsearch, LangChain, OpenSearch; currently in AI/ML role; product-company background; high responsiveness (87%); fast response times (11.3h avg)."
"CAND_0081846","9","0.7167","Moderate semantic match (0.65). Lead AI Engineer at Razorpay with 6.7 yrs experience. strong in Information Retrieval, Learning to Rank, Elasticsearch; currently in AI/ML role; product-company background; high responsiveness (73%); high market demand."
"CAND_0005260","10","0.7079","HIGH semantic match (0.78). Senior NLP Engineer at Netflix with 5.2 yrs experience. strong in Semantic Search, NLP, LoRA; currently in AI/ML role; product-company background; high responsiveness (86%); high market demand."
"CAND_0094759","11","0.7005","HIGH semantic match (0.87). Lead AI Engineer at Meta with 8.6 yrs experience. strong in Prompt Engineering, Semantic Search, Fine-tuning LLMs; currently in AI/ML role; product-company background; high market demand; active on GitHub (score: 76)."
"CAND_0039754","12","0.6920","HIGH semantic match (0.81). Senior Applied Scientist at Meta with 16.2 yrs experience. strong in Fine-tuning LLMs, Qdrant, NLP; currently in AI/ML role; product-company background; high responsiveness (81%); high market demand."
"CAND_0018499","13","0.6837","Moderate semantic match (0.67). Senior Machine Learning Engineer at Zomato with 7.2 yrs experience. strong in Weaviate, Recommendation Systems, Milvus; currently in AI/ML role; product-company background; high responsiveness (61%); high market demand."
"CAND_0093547","14","0.6834","HIGH semantic match (0.74). Senior Machine Learning Engineer at PhonePe with 2.9 yrs experience. strong in RAG, PEFT, Milvus; currently in AI/ML role; product-company background; high responsiveness (75%); fast response times (20.1h avg)."
"CAND_0088025","15","0.6572","Moderate semantic match (0.67). Staff Machine Learning Engineer at Yellow.ai with 8.6 yrs experience. strong in QLoRA, RAG, BM25; currently in AI/ML role; product-company background; high responsiveness (83%); high market demand."
"CAND_0030031","16","0.6558","HIGH semantic match (0.79). AI Engineer at Microsoft with 5.7 yrs experience. strong in NLP, RAG, LoRA; currently in AI/ML role; product-company background; high responsiveness (94%); high market demand."
"CAND_0007411","17","0.6450","HIGH semantic match (0.85). Senior Machine Learning Engineer at Amazon with 8.0 yrs experience. strong in OpenSearch, Prompt Engineering, BM25; currently in AI/ML role; product-company background; high market demand; active on GitHub (score: 90)."
"CAND_0093193","18","0.6376","HIGH semantic match (0.77). Senior Machine Learning Engineer at Niramai with 7.9 yrs experience. strong in Ranking Systems, OpenSearch, Qdrant; currently in AI/ML role; product-company background; high responsiveness (61%); fast response times (11.9h avg)."
"CAND_0008425","19","0.6240","HIGH semantic match (0.75). Senior NLP Engineer at Ola with 7.8 yrs experience. strong in Learning to Rank, Qdrant, Sentence Transformers; currently in AI/ML role; product-company background; high responsiveness (66%); fast response times (10.8h avg)."
"CAND_0086022","20","0.6230","Moderate semantic match (0.68). Senior Applied Scientist at Sarvam AI with 5.3 yrs experience. strong in Fine-tuning LLMs, Pinecone, Embeddings; currently in AI/ML role; product-company background; good responsiveness (55%); high market demand."
"CAND_0011687","21","0.6161","HIGH semantic match (0.78). Senior NLP Engineer at Niramai with 7.8 yrs experience. strong in OpenSearch, PEFT, Embeddings; currently in AI/ML role; product-company background; high responsiveness (89%); fast response times (7.5h avg)."
"CAND_0024620","22","0.6049","HIGH semantic match (0.86). AI Engineer at PharmEasy with 5.9 yrs experience. strong in BM25, Information Retrieval, Prompt Engineering; currently in AI/ML role; product-company background; good responsiveness (41%); fast response times (12.3h avg)."
"CAND_0033861","23","0.6029","Moderate semantic match (0.68). Senior NLP Engineer at Mad Street Den with 8.0 yrs experience. strong in Weaviate, Elasticsearch, Milvus; currently in AI/ML role; product-company background; high market demand; based in Vizag, Andhra Pradesh."
"CAND_0092278","24","0.6019","HIGH semantic match (0.78). Senior NLP Engineer at Microsoft with 6.8 yrs experience. strong in QLoRA, NLP, Elasticsearch; currently in AI/ML role; product-company background; high market demand; based in Pune, Maharashtra."
"CAND_0077337","25","0.5965","Moderate semantic match (0.45). Staff Machine Learning Engineer at Paytm with 7.0 yrs experience. strong in QLoRA, BM25, Information Retrieval; currently in AI/ML role; product-company background; high responsiveness (95%); high market demand."
